avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
1.123,1.68,-0.03,-0.47,51.0,0.0,2.0,1.0,9.0,335.345405767941,0.0,11.0
1.13575,1.6725,-0.03,-0.29,52.0,0.0,2.0,1.0,3.0,335.5704697986577,2.0,9.0
1.1553,1.689,-0.03,-0.21,48.0,0.0,0.0,1.0,7.0,336.58700774150117,3.0,6.0
1.10675,1.6425,-0.06,-0.31,55.0,0.0,1.0,2.0,7.0,337.26812816188874,1.0,12.0
1.1454,1.662,-0.03,-0.12,52.0,0.0,0.0,1.0,4.0,337.0407819346141,0.0,19.0
1.0903999999999998,1.602,-0.06,-0.19,62.0,0.0,1.0,2.0,3.0,336.92722371967653,2.0,8.0
1.2082499999999998,1.7475,0.0,-0.15,39.0,0.0,0.0,0.0,5.0,336.02150537634407,0.0,4.0
1.05935,1.6005,-0.16,-0.29,63.0,1.0,2.0,2.0,3.0,336.47375504710635,2.0,11.0
1.0734000000000001,1.602,-0.13,-0.22,62.0,1.0,1.0,1.0,4.0,337.0407819346141,3.0,6.0
1.05505,1.5915,-0.19,-0.21,64.0,1.0,0.0,3.0,7.0,336.58700774150117,1.0,9.0
1.1454999999999997,1.695,-0.03,-0.35,48.0,0.0,2.0,1.0,5.0,335.795836131632,0.0,8.0
1.1294999999999997,1.635,-0.03,-0.09,58.0,0.0,0.0,1.0,3.0,335.6831151393085,1.0,12.0
1.1508,1.704,0.0,-0.42,46.0,0.0,3.0,0.0,4.0,336.02150537634407,0.0,6.0
1.15075,1.7025,-0.03,-0.35,47.0,0.0,2.0,1.0,5.0,335.6831151393085,1.0,7.0
1.1810999999999998,1.713,-0.03,-0.12,46.0,0.0,0.0,1.0,4.0,335.00837520938023,0.0,5.0
1.0873999999999997,1.632,-0.23,-0.09,57.0,2.0,0.0,1.0,3.0,337.154416722859,3.0,14.0
1.1593999999999998,1.692,0.0,-0.25,49.0,0.0,1.0,0.0,5.0,335.4579000335458,0.0,11.0
1.1139,1.617,-0.03,-0.12,61.0,0.0,0.0,1.0,4.0,335.795836131632,0.0,12.0
1.0837999999999999,1.644,-0.26,-0.15,55.0,2.0,0.0,2.0,5.0,337.154416722859,1.0,13.0
1.1639,1.707,-0.06,-0.19,45.0,0.0,1.0,2.0,3.0,336.81374200067364,3.0,4.0
1.07635,1.6305,-0.13,-0.39,56.0,1.0,3.0,1.0,3.0,338.06626098715344,3.0,8.0
1.1785499999999998,1.6965,0.0,-0.09,46.0,0.0,0.0,0.0,3.0,337.0407819346141,0.0,6.0
1.13455,1.6965,-0.19,-0.15,48.0,1.0,0.0,3.0,5.0,335.345405767941,0.0,13.0
1.12425,1.6275,-0.03,-0.09,58.0,0.0,0.0,1.0,3.0,336.92722371967653,1.0,10.0
1.0949,1.647,-0.18,-0.22,57.0,0.0,1.0,6.0,4.0,335.00837520938023,1.0,14.0
1.1194,1.662,-0.06,-0.32,54.0,0.0,2.0,2.0,4.0,335.4579000335458,1.0,10.0
1.1274,1.632,0.0,-0.15,57.0,0.0,0.0,0.0,5.0,337.0407819346141,3.0,8.0
1.08065,1.6095,-0.06,-0.34,60.0,0.0,1.0,2.0,8.0,337.38191632928476,2.0,20.0
1.1173499999999998,1.6305,-0.09,-0.06,57.0,0.0,0.0,3.0,2.0,337.26812816188874,4.0,9.0
1.1624,1.692,-0.03,-0.16,47.0,0.0,1.0,1.0,2.0,336.92722371967653,3.0,4.0
1.1099499999999998,1.6485,-0.16,-0.12,55.0,1.0,0.0,2.0,4.0,336.2474781439139,0.0,14.0
1.0760999999999998,1.653,-0.16,-0.49,56.0,1.0,4.0,2.0,3.0,335.00837520938023,0.0,10.0
1.19685,1.7355,-0.03,-0.12,41.0,0.0,0.0,1.0,4.0,336.02150537634407,0.0,10.0
1.0950499999999996,1.6515,-0.13,-0.35,54.0,1.0,2.0,1.0,5.0,336.92722371967653,0.0,17.0
1.10125,1.6575,-0.23,-0.13,52.0,2.0,1.0,1.0,1.0,337.4957813027337,3.0,8.0
1.19955,1.7265,-0.03,-0.03,42.0,0.0,0.0,1.0,1.0,336.2474781439139,0.0,9.0
1.1062499999999997,1.6575,-0.06,-0.42,54.0,0.0,3.0,2.0,4.0,336.02150537634407,0.0,12.0
1.1756999999999997,1.701,0.0,-0.15,47.0,0.0,0.0,0.0,5.0,335.6831151393085,0.0,6.0
1.17715,1.7445,-0.13,-0.18,41.0,1.0,0.0,1.0,6.0,334.7840642785403,0.0,11.0
1.09425,1.5975,-0.09,-0.06,63.0,0.0,0.0,3.0,2.0,336.81374200067364,0.0,15.0
1.14775,1.7025,-0.06,-0.32,47.0,0.0,2.0,2.0,4.0,335.4579000335458,0.0,7.0
1.1202999999999999,1.659,-0.13,-0.15,53.0,1.0,0.0,1.0,5.0,336.70033670033666,0.0,16.0
1.10685,1.6455,-0.13,-0.19,56.0,1.0,1.0,1.0,3.0,335.9086328518643,2.0,11.0
1.1339499999999998,1.6785,-0.03,-0.35,50.0,0.0,2.0,1.0,5.0,336.2474781439139,0.0,10.0
1.0098,1.584,-0.3,-0.39,67.0,3.0,3.0,0.0,3.0,335.345405767941,1.0,16.0
1.1499,1.707,-0.13,-0.19,45.0,1.0,1.0,1.0,3.0,336.58700774150117,1.0,9.0
1.13515,1.6845,-0.16,-0.12,50.0,1.0,0.0,2.0,4.0,335.5704697986577,1.0,11.0
