avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration
0.43349999999999994,6.0,0.0,0.0,1.0,0.0,67.34006734006734
0.5025,10.0,0.0,0.0,0.0,1.0,67.34006734006734
0.5632499999999999,3.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5339999999999999,5.0,0.0,0.0,0.0,1.0,68.37606837606837
0.5699999999999998,3.0,0.0,0.0,0.0,1.0,67.00167504187606
0.4064999999999999,9.0,0.0,0.0,1.0,1.0,67.45362563237774
0.5339999999999999,6.0,0.0,1.0,0.0,0.0,67.68189509306261
0.4979999999999999,9.0,0.0,0.0,0.0,2.0,68.4931506849315
0.5115,8.0,0.0,0.0,0.0,0.0,68.02721088435375
0.5047499999999999,9.0,0.0,0.0,0.0,3.0,67.91171477079797
