avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out
0.4065,2.0,0.0,0.0,1.0,1.0
0.46199999999999997,2.0,0.0,0.0,0.0,0.0
0.4777499999999999,4.0,0.0,0.0,0.0,0.0
0.45299999999999996,6.0,0.0,0.0,0.0,0.0
0.5047499999999999,0.0,0.0,0.0,0.0,0.0
0.2047499999999999,2.0,0.0,1.0,0.0,0.0
0.4739999999999999,3.0,0.0,0.0,1.0,0.0
0.5047499999999999,0.0,0.0,0.0,0.0,0.0
0.4949999999999999,1.0,0.0,0.0,2.0,0.0
0.49349999999999994,3.0,0.0,0.0,0.0,0.0
0.4372499999999999,2.0,0.0,0.0,0.0,1.0
0.5024999999999998,0.0,0.0,0.0,0.0,0.0
0.4874999999999999,1.0,0.0,0.0,1.0,0.0
0.46425,3.0,0.0,0.0,0.0,0.0
0.5295,0.0,0.0,0.0,0.0,0.0
0.48899999999999993,2.0,0.0,0.0,0.0,0.0
0.4614999999999999,2.0,1.0,0.0,0.0,0.0
0.4664999999999999,4.0,0.0,0.0,0.0,0.0
0.498,1.0,0.0,0.0,0.0,0.0
0.46049999999999996,3.0,0.0,0.0,1.0,0.0
0.4255,4.0,1.0,0.0,0.0,0.0
0.5002499999999999,2.0,0.0,0.0,0.0,0.0
0.42999999999999994,3.0,1.0,0.0,0.0,0.0
0.3899999999999999,3.0,0.0,0.0,0.0,1.0
0.42999999999999994,2.0,1.0,0.0,0.0,0.0
0.48149999999999993,2.0,0.0,0.0,2.0,0.0
