avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out
0.47099999999999986,2.0,0.0,0.0,0.0,0.0
0.45525,2.0,0.0,0.0,0.0,0.0
0.4184999999999999,2.0,0.0,0.0,1.0,0.0
0.3524999999999999,5.0,0.0,0.0,1.0,1.0
0.507,1.0,0.0,0.0,0.0,0.0
0.5092499999999999,3.0,0.0,0.0,0.0,0.0
0.4139999999999999,1.0,0.0,0.0,1.0,0.0
0.5069999999999999,2.0,0.0,0.0,0.0,0.0
0.5047499999999999,1.0,0.0,0.0,0.0,0.0
0.5294999999999999,0.0,0.0,0.0,0.0,0.0
0.21874999999999997,4.0,1.0,0.0,0.0,0.0
0.4867499999999999,3.0,0.0,0.0,0.0,0.0
0.39374999999999993,4.0,0.0,0.0,1.0,0.0
